,age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude
143,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-20T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.309316,1313138,On or near Laurel Grove,-2.215404
144,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-21T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.615806,1309317,On or near Park/Open Space,-1.812759
145,25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-21T00:00:00+00:00,False,,Black,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.606165,1319391,On or near Tadpole Lane,-1.822733
146,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-21T00:00:00+00:00,False,,White,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.567254,1317938,On or near Sports/Recreation Area,-1.763891
147,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-22T00:00:00+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.321829,1313066,On or near A361,-2.202433
148,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-22T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.560184,1317896,On or near Supermarket,-1.785940
149,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-23T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.517454,1316322,On or near Prior'S Hill,-1.789123
150,18-24,A no further action disposal,True,White - Any other White background,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-23T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.517454,1316322,On or near Prior'S Hill,-1.789123
151,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-23T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.517454,1316322,On or near Prior'S Hill,-1.789123
152,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-23T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.584129,1318680,On or near High Street,-2.097849
153,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-23T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.584129,1318680,On or near High Street,-2.097849
154,18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-23T00:00:00+00:00,False,,Black,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.551862,1309385,On or near Police Station,-1.723039
